week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2024-09-09,4,3,1,0.75,167.87,4.8712,10069.62,1.6954
2024-09-16,2,1,1,0.5,44.92,1.5245,10114.54,0.4461
2024-09-23,6,4,2,0.6667,152.53,4.5274,10267.07,1.508
2024-09-30,8,3,5,0.375,51.98,1.4285,10319.05,0.5063
2024-10-07,5,2,3,0.4,-31.9,-0.9476,10287.15,-0.3091
2024-10-14,5,1,4,0.2,-78.29,-2.4559,10208.86,-0.761
2024-10-21,5,0,5,0.0,-111.47,-3.748,10097.39,-1.0919
2024-10-28,5,2,3,0.4,-83.99,-2.3943,10013.4,-0.8318
2024-11-04,3,2,1,0.6667,51.92,1.7164,10065.32,0.5185
2024-11-11,7,2,5,0.2857,-56.44,-1.5104,10008.88,-0.5607
2024-11-18,3,2,1,0.6667,11.78,0.1494,10020.66,0.1177
2024-11-25,6,4,2,0.6667,36.17,0.9653,10056.83,0.361
2024-12-02,6,1,5,0.1667,-87.94,-2.6187,9968.89,-0.8744
2024-12-09,5,1,4,0.2,-99.14,-3.0389,9869.75,-0.9945
2024-12-16,5,0,5,0.0,-123.78,-3.8313,9745.97,-1.2541
2024-12-23,4,2,2,0.5,-25.72,-0.7416,9720.25,-0.2639
2024-12-30,5,2,3,0.4,-33.41,-0.9674,9686.84,-0.3437
2025-01-06,5,2,3,0.4,-32.06,-1.3403,9654.78,-0.331
2025-01-13,6,5,1,0.8333,150.54,4.3986,9805.32,1.5592
2025-01-20,0,0,0,,0.0,0.0,9805.32,0.0
2025-01-27,4,1,3,0.25,-35.9,-0.4794,9769.42,-0.3661
2025-02-03,6,4,2,0.6667,106.48,3.3686,9875.9,1.0899
2025-02-10,4,1,3,0.25,-25.1,-0.4143,9850.8,-0.2542
2025-02-17,1,1,0,1.0,67.68,1.9817,9918.48,0.6871
2025-02-24,5,1,4,0.2,-124.22,-3.776,9794.26,-1.2524
2025-03-03,4,1,3,0.25,-97.82,-2.9476,9696.44,-0.9987
2025-03-10,6,1,5,0.1667,-144.54,-4.2482,9551.9,-1.4907
2025-03-17,4,3,1,0.75,17.32,0.5105,9569.22,0.1813
